#,Type,Name,Class,Year,Status,Base,Url
121,Guided Missile Cruiser,Moskva,Slava,1979,Sunk,,https://en.wikipedia.org/wiki/Russian_cruiser_Moskva
150,Large Landing Ship,Saratov,Tapir,1964,Sunk,,https://en.wikipedia.org/wiki/Tapir-class_landing_ship
?,Rescue Tug,Spasatel Vasily Bekh,Project 22870,2016,Sunk,,https://en.wikipedia.org/wiki/Russian_tug_Spasatel_Vasily_Bekh
801,Guided Missile Frigate,Ladnyy,Krivak,1980,Active as of 2022;,,https://en.wikipedia.org/wiki/Russian_frigate_Ladny
808,Guided Missile Frigate,Pytlivyy,Krivak,1981,Reported in maintenance as of early 2022,,https://en.wikipedia.org/wiki/Soviet_frigate_Pytlivyy
745,Guided Missile Frigate,Admiral Grigorovich,Admiral Grigorovich,2016,Active;,,https://en.wikipedia.org/wiki/Russian_frigate_Admiral_Grigorovich
751,Guided Missile Frigate,Admiral Essen,Admiral Grigorovich,2016,Active combat operations as of February 2022,,https://en.wikipedia.org/wiki/Russian_frigate_Admiral_Essen
799,Guided Missile Frigate,Admiral Makarov,Admiral Grigorovich,2017,Reported as likely to assume the role of fleet flagship following the loss of the cruiser Moskva,,https://en.wikipedia.org/wiki/Russian_frigate_Admiral_Makarov
535,Multi-role Corvette,Mercury? (former Retiviy),Steregushchiy,Projected 2022,Sea trials reported underway in the Baltic as of May 2022;,,https://en.wikipedia.org/wiki/Russian_corvette_Retiviy
,Diesel Attack Submarine,Alrosa (B-871),Kilo 877V,,Active as of 2022,Sevastopol,https://en.wikipedia.org/wiki/Soviet_submarine_B-871
,Diesel Attack Submarine,Novorossiysk (B-261),Improved Kilo 636.3,,Active; deployed in the Mediterranean as of May 2022,Novorossiysk,
,Diesel Attack Submarine,Rostov na donu (B-237),Improved Kilo 636.3,,"Active; returned to the Black Sea from the Mediterranean, February 2022",Novorossiysk,
,Diesel Attack Submarine,Staryy Oskol (B-262),Improved Kilo 636.3,,Active as of 2021,Novorossiysk,
,Diesel Attack Submarine,Krasnodar (B-265),Improved Kilo 636.3,,Active;,Novorossiysk,
,Diesel Attack Submarine,Velikiy Novgorod (B-268),Improved Kilo 636.3,,Active as of 2021,Novorossiysk,
,Diesel Attack Submarine,Kolpino (B-271),Improved Kilo 636.3,,Active;,Novorossiysk,
,Landing Ship,Nikolay Filchenkov ,Alligator,,Reported active by Russian sources as of June 2022.,,
,Landing Ship,Orsk,Alligator,,Reported active by Russian sources as of June 2022.,,https://en.wikipedia.org/wiki/Russian_landing_ship_Orsk
,Landing Ship,Azov,Ropucha-II,,Reported active by Russian sources as of June 2022,,
,Landing Ship,Novocherkassk,Ropucha-I,,Active combat operations as of February 2022; may have been damaged at Berdyansk,,
,Landing Ship,Caesar Kunikov,Ropucha-I,,Active combat operations as of May 2022;,,https://en.wikipedia.org/wiki/Russian_ship_Caesar_Kunikov_(BDK-64)
,Landing Ship,Yamal,Ropucha-I,,Reported active by Russian sources as of June 2022.,,
,High-Speed Landing Craft,D-296,Project 02510,,Active (Special Forces),,
,High-Speed Landing Craft,D-309,Project 02510,,Active (Special Forces),,
,ASW Corvette,Alexandrovets,Grisha I,,,,
,ASW Corvette,Suzdalets,Grisha III,,Active as of 2022,,
,ASW Corvette,Muromets,Grisha III,,,,
,Seagoing Minesweeper,Kovrovets,Natya I,,Active as of 2021,,
,Seagoing Minesweeper,Ivan Golubets,Natya I,,Active as of 2022,,
,Seagoing Minesweeper,Turbinist,Natya I,,,,
,Seagoing Minesweeper,Ivan Antonov,Alexandrit,,Active as of 2022,,
,Seagoing Minesweeper,Vladimir Emelyanov,Alexandrit,,Active;,,
,Seagoing Minesweeper,Georgy Kurbatov,Alexandrit,,Active as of 2022,,
,Anti-Saboteur Boat,Yunarmeets Kryma,Grachonok,,,,
,Anti-Saboteur Boat,Kinel,Grachonok,,,,
,Anti-Saboteur Boat,Pavel Silaev,Grachonok,,Deployed to the Mediterranean June to November 2021,,
